x,a,b,c,d,index_value,true_index_value
2,87,119,127,9,162,3960.88
3,86,119,127,9,177,3959.57
4,53,107,127,9,186,3958.78
5,53,101,127,8,179,3959.39
6,53,83,110,8,158,3961.23
7,52,77,96,8,146,3962.28
8,50,75,94,5,138,3962.98
9,33,82,89,6,148,3962.11
10,43,85,88,6,149,3962.02
11,43,88,104,6,155,3961.49
12,45,87,103,6,153,3961.67
13,50,84,89,7,142,3962.63
14,52,90,88,7,142,3962.63
15,59,95,83,7,150,3961.93
16,61,100,103,8,155,3961.49
17,69,100,102,8,160,3961.05
18,70,96,93,8,153,3961.67
19,84,104,91,8,158,3961.23
20,87,105,89,8,159,3961.14
21,87,98,107,8,155,3961.49
22,86,89,99,8,149,3962.02
23,81,72,85,8,130,3963.68
24,75,62,80,7,112,3965.26
25,70,49,80,7,94,3966.84
26,64,42,68,6,81,3967.98
27,63,48,56,7,91,3967.1
28,67,55,58,7,102,3966.14
29,71,66,59,7,115,3965.0
30,71,67,71,7,116,3964.91
31,72,67,72,8,119,3964.65
32,75,68,63,9,118,3964.73
33,83,73,58,10,122,3964.38
34,99,87,72,11,136,3963.16
35,103,92,80,12,139,3962.89
36,103,100,87,12,140,3962.81
37,107,101,85,13,135,3963.24
38,108,101,85,14,134,3963.33
39,111,99,92,14,125,3964.12
40,111,95,88,13,121,3964.47
41,110,87,77,13,108,3965.61
42,106,86,70,13,106,3965.79
43,106,89,78,13,113,3965.17
44,109,96,84,14,117,3964.82
45,109,98,85,14,120,3964.56
46,109,93,82,14,111,3965.35
47,110,90,75,14,108,3965.61
48,110,83,77,13,99,3966.4
49,109,78,74,13,93,3966.92
50,107,72,68,13,86,3967.54
51,103,65,63,13,81,3967.98
52,102,57,64,13,73,3968.68
53,103,55,59,13,74,3968.59
54,103,50,51,12,75,3968.5
55,103,44,45,11,72,3968.76
56,101,31,37,11,51,3970.6
57,98,21,35,11,45,3971.13
58,95,9,23,11,26,3972.79
59,92,6,16,11,19,3973.41
60,93,11,10,11,20,3973.32
61,93,15,21,11,22,3973.14
62,94,23,28,11,33,3972.18
63,96,25,28,11,35,3972.0
64,99,38,28,13,43,3971.3
65,103,44,28,14,52,3970.52
66,103,54,43,14,63,3969.55
67,103,61,52,14,75,3968.5
68,104,64,49,14,82,3967.89
69,105,65,49,15,86,3967.54
70,105,58,53,15,70,3968.94
71,105,55,48,15,68,3969.11
72,104,48,40,14,53,3970.43
73,104,40,37,14,45,3971.13
74,103,38,29,13,44,3971.22
75,103,27,27,13,35,3972.0
76,102,26,23,13,35,3972.0
77,100,25,16,13,36,3971.92
78,100,24,18,13,36,3971.92
79,99,24,21,13,36,3971.92
80,100,23,20,13,32,3972.27
81,100,24,20,13,31,3972.36
82,102,35,17,14,32,3972.27
83,104,42,19,15,50,3970.69
84,106,52,34,16,54,3970.34
85,106,58,44,16,67,3969.2
86,109,60,43,17,66,3969.29
87,109,62,45,17,66,3969.29
88,109,59,50,15,60,3969.81
89,108,55,52,15,48,3970.87
90,105,49,46,14,39,3971.65
91,103,41,40,13,20,3973.32
92,101,38,36,13,13,3973.93
93,100,41,36,13,13,3973.93
94,103,47,36,15,19,3973.41
95,106,61,42,17,40,3971.57
96,114,76,49,19,56,3970.17
97,117,93,58,22,73,3968.68
98,121,111,75,24,94,3966.84
99,125,128,88,26,108,3965.61
100,127,137,99,27,119,3964.65
101,128,142,108,28,124,3964.21
102,129,143,112,29,132,3963.51
103,133,146,111,30,138,3962.98
104,134,148,111,31,151,3961.84
105,135,144,111,32,152,3961.76
106,136,141,109,32,151,3961.84
107,137,135,106,33,150,3961.93
108,140,134,102,34,149,3962.02
109,141,133,96,35,150,3961.93
110,146,138,94,37,154,3961.58
111,147,144,104,40,160,3961.05
112,151,149,112,41,167,3960.44
113,152,150,114,42,168,3960.35
114,154,150,114,43,174,3959.83
115,155,152,114,44,177,3959.57
116,156,152,118,45,185,3958.86
117,157,148,116,45,184,3958.95
118,157,145,110,46,178,3959.48
119,158,143,106,46,183,3959.04
120,159,144,108,47,185,3958.86
121,161,144,106,48,195,3957.99
122,163,147,106,49,204,3957.2
123,165,149,106,51,207,3956.94
124,165,149,108,51,207,3956.94
125,165,144,110,51,203,3957.29
126,165,135,106,50,190,3958.43
127,163,129,100,50,186,3958.78
128,162,120,92,51,177,3959.57
129,162,115,90,51,172,3960.0
130,162,109,83,51,167,3960.44
131,161,104,78,51,162,3960.88
132,162,102,73,51,165,3960.62
133,162,103,70,51,166,3960.53
134,163,106,75,52,169,3960.27
135,164,108,76,52,174,3959.83
136,169,113,76,54,187,3958.69
137,172,122,79,57,196,3957.9
138,174,126,90,59,206,3957.03
139,176,135,99,60,206,3957.03
140,177,136,99,61,203,3957.29
141,178,135,99,62,197,3957.81
142,178,127,98,61,186,3958.78
143,177,125,97,61,180,3959.3
144,176,115,90,62,171,3960.09
145,176,114,84,62,172,3960.0
146,176,112,80,62,171,3960.09
147,177,113,83,63,175,3959.74
148,178,115,84,64,176,3959.65
149,179,118,87,65,181,3959.22
150,179,119,88,65,181,3959.22
151,181,123,88,66,185,3958.86
152,183,125,92,67,191,3958.34
153,185,133,96,69,203,3957.29
154,186,135,99,70,212,3956.5
155,187,141,104,71,222,3955.62
156,188,142,108,72,226,3955.27
